### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-oldBatt-Fedora_videoNoSound_-_2.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
01:46:40	 27.42%	00:10:54
01:46:50	 27.42%	00:10:43
01:47:00	 27.23%	00:10:21
01:47:10	 27.23%	00:10:15
01:47:20	 27.23%	00:10:20
01:47:30	 27.50%	00:10:14
01:47:40	 27.50%	00:10:27
01:47:50	 27.50%	00:10:02
01:48:00	 26.85%	00:09:50
01:48:10	 26.85%	00:09:59
01:48:20	 26.85%	00:09:53
01:48:30	 26.67%	00:09:43
01:48:40	 26.67%	00:09:47
01:48:50	 26.48%	00:09:53
01:49:00	 26.48%	00:09:52
01:49:10	 26.48%	00:10:16
01:49:20	 26.28%	00:10:11
01:49:30	 26.28%	00:10:43
01:49:40	 26.28%	00:10:58
01:49:50	 26.10%	00:10:47
01:50:00	 26.10%	00:10:21
01:50:10	 26.10%	00:10:01
01:50:20	 25.89%	00:09:47
01:50:30	 25.89%	00:09:52
01:50:40	 25.89%	00:09:48
01:50:50	 25.71%	00:10:00
01:51:00	 25.71%	00:09:42
01:51:10	 25.71%	00:09:35
01:51:20	 25.51%	00:09:31
01:51:30	 25.51%	00:09:09
01:51:40	 25.51%	00:09:19
01:51:50	 25.32%	00:09:20
01:52:00	 25.32%	00:09:23
01:52:10	 25.14%	00:09:19
01:52:20	 25.14%	00:09:43
01:52:30	 25.14%	00:09:46
01:52:40	 25.14%	00:10:14
01:52:50	 24.94%	00:10:20
01:53:00	 24.94%	00:10:20
01:53:10	 24.76%	00:09:56
01:53:20	 24.76%	00:09:37
01:53:30	 24.76%	00:09:22
01:53:40	 24.57%	00:09:09
01:53:50	 24.57%	00:09:17
01:54:00	 24.57%	00:09:27
01:54:10	 24.37%	00:09:08
01:54:20	 24.37%	00:09:11
01:54:30	 24.37%	00:09:08
01:54:40	 24.19%	00:08:54
01:54:50	 24.19%	00:08:58
01:55:00	 24.19%	00:08:57
01:55:10	 24.00%	00:08:56
01:55:20	 24.00%	00:08:53
01:55:30	 24.00%	00:09:14
01:55:40	 23.80%	00:09:20
01:55:50	 23.80%	00:09:35
01:56:00	 23.80%	00:09:44
01:56:10	 23.62%	00:09:42
01:56:20	 23.62%	00:09:24
01:56:30	 23.62%	00:09:13
01:56:40	 23.42%	00:09:01
01:56:50	 23.42%	00:08:51
01:57:00	 23.42%	00:08:58
01:57:10	 23.23%	00:09:02
01:57:20	 23.23%	00:08:58
01:57:30	 23.23%	00:08:49
01:57:40	 23.50%	00:08:36
01:57:50	 23.50%	00:08:28
01:58:00	 23.50%	00:08:33
