### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log files/Lenovo-Yoga-530-Fedora_idle.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
01:42:30	 84.18%	10:09:37
01:42:40	 84.15%	10:10:00
01:42:50	 84.12%	10:09:26
01:43:00	 84.90%	10:09:15
01:43:10	 84.70%	10:09:03
01:43:20	 84.40%	10:08:52
01:43:30	 84.10%	10:09:50
01:43:40	 84.00%	10:08:29
01:43:50	 83.96%	10:08:29
01:44:00	 83.95%	10:09:50
01:44:10	 83.92%	10:08:18
01:44:20	 83.89%	10:07:44
01:44:30	 83.89%	10:08:07
01:44:40	 83.87%	10:07:56
01:44:50	 83.84%	10:07:56
01:45:00	 83.81%	10:07:33
01:45:10	 83.79%	10:07:33
01:45:20	 83.76%	10:07:33
01:45:30	 83.73%	10:06:59
01:45:40	 83.70%	10:06:59
01:45:50	 83.68%	10:06:59
01:46:00	 83.65%	10:06:48
01:46:10	 83.62%	10:09:06
01:46:20	 83.60%	10:06:14
01:46:30	 83.57%	10:06:14
01:46:40	 83.54%	10:07:23
01:46:50	 83.53%	10:06:48
01:47:00	 83.50%	10:05:40
01:47:10	 83.48%	10:05:28
01:47:20	 83.45%	10:05:29
01:47:30	 83.42%	10:05:17
01:47:40	 83.40%	10:04:54
01:47:50	 83.40%	10:05:17
01:48:00	 83.34%	10:04:55
01:48:10	 83.31%	10:05:41
01:48:20	 83.31%	10:04:32
01:48:30	 83.29%	10:04:20
01:48:40	 83.26%	10:04:09
01:48:50	 83.23%	10:04:55
01:49:00	 83.21%	10:03:58
01:49:10	 83.18%	10:03:58
01:49:20	 83.15%	10:05:07
01:49:30	 83.14%	10:04:21
01:49:40	 83.10%	10:03:12
01:49:50	 83.90%	10:03:12
01:50:00	 83.60%	10:03:58
01:50:10	 83.30%	10:03:13
01:50:20	 83.10%	10:02:50
01:50:30	 82.98%	10:02:38
01:50:40	 82.95%	10:02:39
01:50:50	 82.93%	10:02:50
01:51:00	 82.90%	10:02:16
01:51:10	 82.87%	10:01:42
01:51:20	 82.84%	10:01:53
01:51:30	 82.84%	10:02:16
01:51:40	 82.82%	10:01:53
01:51:50	 82.79%	10:01:30
01:52:00	 82.75%	10:03:25
01:52:10	 82.75%	10:01:42
01:52:20	 82.71%	10:00:56
01:52:30	 82.68%	10:00:45
01:52:40	 82.67%	10:00:56
01:52:50	 82.64%	10:02:05
01:53:00	 82.62%	10:00:45
01:53:10	 82.59%	10:00:22
01:53:20	 82.56%	10:00:34
01:53:30	 82.54%	09:59:48
01:53:40	 82.51%	09:59:37
01:53:50	 82.48%	09:59:48
01:54:00	 82.45%	10:00:22
01:54:10	 82.43%	09:59:14
01:54:20	 82.40%	09:59:25
01:54:30	 82.40%	09:59:14
01:54:40	 82.37%	10:00:34
01:54:50	 82.35%	09:58:51
01:55:00	 82.32%	09:52:52
01:55:10	 82.29%	09:42:50
01:55:20	 82.28%	09:58:06
01:55:30	 82.25%	10:01:20
01:55:40	 82.23%	10:01:08
01:55:50	 82.20%	10:00:57
01:56:00	 82.17%	10:01:31
01:56:10	 82.15%	10:00:22
01:56:20	 82.12%	10:00:34
01:56:30	 82.90%	10:00:11
01:56:40	 82.90%	10:00:22
01:56:50	 82.60%	10:00:34
01:57:00	 82.40%	10:00:11
01:57:10	 82.10%	10:00:00
01:57:20	 81.98%	10:01:08
01:57:30	 81.96%	09:59:37
01:57:40	 81.93%	09:59:14
01:57:50	 81.90%	09:59:25
01:58:00	 81.89%	09:59:02
01:58:10	 81.85%	09:58:51
01:58:20	 81.85%	09:58:51
01:58:30	 81.82%	09:59:02
01:58:40	 81.81%	09:58:51
01:58:50	 81.78%	09:59:02
01:59:00	 81.76%	09:58:05
01:59:10	 81.73%	09:58:16
01:59:20	 81.70%	09:57:54
01:59:30	 81.68%	09:57:54
01:59:40	 81.65%	09:57:31
01:59:50	 81.62%	09:57:42
02:00:00	 81.59%	10:01:43
02:00:10	 81.59%	09:57:31
02:00:20	 81.56%	09:57:08
02:00:30	 81.54%	09:56:56
02:00:40	 81.51%	09:56:45
02:00:50	 81.50%	09:56:45
02:01:00	 81.46%	09:56:33
